entity,label,explanation
Water ISAC,ORG,"Companies, agencies, institutions, etc."
Hayman,PERSON,"People, including fictional"
the Water ISAC,ORG,"Companies, agencies, institutions, etc."
East Palestine,GPE,"Countries, cities, states"
Ohio,GPE,"Countries, cities, states"
Water ISAC,ORG,"Companies, agencies, institutions, etc."
Markey,PERSON,"People, including fictional"
Last week,DATE,Absolute or relative dates or periods
"the Water System Threat 
Preparedness and Resilience Act",LAW,Named documents made into laws.
Water ISAC,ORG,"Companies, agencies, institutions, etc."
Hayman,PERSON,"People, including fictional"
Congress,ORG,"Companies, agencies, institutions, etc."
Hayman,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
Hayman,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
East,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Palestine,GPE,"Countries, cities, states"
Hayman,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
Samuel Taylor Coleridge,PERSON,"People, including fictional"
Coleridge,PERSON,"People, including fictional"
Americans,NORP,Nationalities or religious or political groups
40 percent,PERCENT,"Percentage, including ""%"""
2019,DATE,Absolute or relative dates or periods
the CLEAR Act,LAW,Named documents made into laws.
the Bipartisan Infrastructure Law,LAW,Named documents made into laws.
Administration,ORG,"Companies, agencies, institutions, etc."
More than $10,MONEY,"Monetary values, including unit"
EPA,ORG,"Companies, agencies, institutions, etc."
Fall,GPE,"Countries, cities, states"
Massachusetts,GPE,"Countries, cities, states"
decades,DATE,Absolute or relative dates or periods
Hayman,PERSON,"People, including fictional"
Hayman,PERSON,"People, including fictional"
the last 15 years,DATE,Absolute or relative dates or periods
about 700,CARDINAL,Numerals that do not fall under another type
the last 5 years,DATE,Absolute or relative dates or periods
"about 4,000",CARDINAL,Numerals that do not fall under another type
one,CARDINAL,Numerals that do not fall under another type
Markey,PERSON,"People, including fictional"
only $30 million,MONEY,"Monetary values, including unit"
last,DATE,Absolute or relative dates or periods
$60,MONEY,"Monetary values, including unit"
the Bipartisan Law,LAW,Named documents made into laws.
Hayman,PERSON,"People, including fictional"
Carper,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
today,DATE,Absolute or relative dates or periods
Philadelphia,GPE,"Countries, cities, states"
West Virginia,GPE,"Countries, cities, states"
one,CARDINAL,Numerals that do not fall under another type
"Aaron 
Rodgers",PERSON,"People, including fictional"
the Green Bay Packers,ORG,"Companies, agencies, institutions, etc."
Committee,ORG,"Companies, agencies, institutions, etc."
the Federal Government,ORG,"Companies, agencies, institutions, etc."
"Bipartisan Water 
and Wastewater legislation",LAW,Named documents made into laws.
Federal,ORG,"Companies, agencies, institutions, etc."
"4 p.m. on Wednesday,",TIME,Times smaller than a day
"about 2 weeks 
from today",DATE,Absolute or relative dates or periods
"Wednesday, April 12th",DATE,Absolute or relative dates or periods
first,ORDINAL,"""first"", ""second"", etc."
today,DATE,Absolute or relative dates or periods
Carper,PERSON,"People, including fictional"
"a 
number of years ago",DATE,Absolute or relative dates or periods
West Virginia,GPE,"Countries, cities, states"
Beckley,GPE,"Countries, cities, states"
Raleigh County,GPE,"Countries, cities, states"
Beaver,GPE,"Countries, cities, states"
Beckley,GPE,"Countries, cities, states"
every Sunday morning,TIME,Times smaller than a day
every Sunday night,TIME,Times smaller than a day
"every 
Wednesday night",TIME,Times smaller than a day
Thursday,DATE,Absolute or relative dates or periods
Thursday,DATE,Absolute or relative dates or periods
nights,TIME,Times smaller than a day
Beaver,GPE,"Countries, cities, states"
Billy Graham,PERSON,"People, including fictional"
Sheila,PERSON,"People, including fictional"
the Golden Rule,LAW,Named documents made into laws.
Matthew 25,LAW,Named documents made into laws.
today,DATE,Absolute or relative dates or periods
Philadelphia,GPE,"Countries, cities, states"
West Virginia,GPE,"Countries, cities, states"
Packers,ORG,"Companies, agencies, institutions, etc."
Eagles,ORG,"Companies, agencies, institutions, etc."
the years,DATE,Absolute or relative dates or periods
Green,GPE,"Countries, cities, states"
12:27 p.m.,TIME,Times smaller than a day
